Country,Year,Livability_Score,Lower_Bound,Upper_Bound,Latest_Score
Niger,2024,0.47722930675168235,0.468518338139459,0.4856182631619974,0.4645619960004263
Niger,2025,0.48069440041144196,0.46553996742697185,0.49562814146003054,0.4645619960004263
Niger,2026,0.48415002660218587,0.4628034355627138,0.5046855965922782,0.4645619960004263
Niger,2027,0.4876056527929298,0.4572546343578788,0.5179266111057658,0.4645619960004263
Nigeria,2023,0.5038844102090948,0.4892792216657247,0.5187731611779054,0.5444808868324261
Nigeria,2024,0.5024068773703251,0.4878462325592207,0.5173160124901823,0.5444808868324261
Nigeria,2025,0.5009252964963806,0.48540318111903685,0.5156862787630525,0.5444808868324261
Nigeria,2026,0.49944776365761084,0.48347447503230523,0.51603132171731,0.5444808868324261
Nigeria,2027,0.4979702308188412,0.48202636379298575,0.5159201521546505,0.5444808868324261
Nicaragua,2023,0.6524952610294548,0.649399213146905,0.6561302732155568,0.6314388360049858
Nicaragua,2024,0.6551343083142975,0.6456952145494901,0.6663160904360947,0.6314388360049858
Nicaragua,2025,0.6577805858656742,0.6405213881484011,0.6777900257149142,0.6314388360049858
Nicaragua,2026,0.6604196331505171,0.6305207877033664,0.6907420059060339,0.6314388360049858
Nicaragua,2027,0.6630586804353599,0.6220550125810241,0.7063463422326435,0.6314388360049858
Netherlands,2023,0.5929425279662406,0.5889637919089911,0.5967068753256565,0.6327700441392914
Netherlands,2024,0.5912118485329201,0.5795515101596742,0.6028322102494179,0.6327700441392914
Netherlands,2025,0.589476427512111,0.5688137370316091,0.6108444734735334,0.6327700441392914
Netherlands,2026,0.5877457480787905,0.5563661584866192,0.6205883399982364,0.6327700441392914
Netherlands,2027,0.58601506864547,0.5433470344837068,0.6305755268592241,0.6327700441392914
Norway,2023,0.7238856191298788,0.7158710333163988,0.7323631868104009,0.7562763338507725
Norway,2024,0.7224131262178025,0.7124891116623051,0.7320347511129265,0.7562763338507725
Norway,2025,0.7209365990785699,0.7083504770953136,0.732535464052413,0.7562763338507725
Norway,2026,0.7194641061664936,0.704242761959092,0.7339548329918146,0.7562763338507725
Norway,2027,0.7179916132544173,0.6985181164531818,0.7374495156313721,0.7562763338507725
Nepal,2023,0.6709645271722399,0.664127994946716,0.6787996698499928,0.6382028811185644
Nepal,2024,0.6770495872041031,0.6700015065526894,0.6854233060873373,0.6382028811185644
Nepal,2025,0.6831513186333138,0.6731740588025035,0.6929988324385364,0.6382028811185644
Nepal,2026,0.6892363786651768,0.6764879943893866,0.7015972461518862,0.6382028811185644
Nepal,2027,0.69532143869704,0.6804910781185675,0.7107277251815838,0.6382028811185644
Nauru,2023,0.5186176384423894,0.5173988460495865,0.5199018162045193,0.5157693424362323
Nauru,2024,0.5203124852462812,0.5176407776810764,0.5233302698149803,0.5157693424362323
Nauru,2025,0.5220119754660741,0.5172133739605135,0.5272917524794543,0.5157693424362323
Nauru,2026,0.523706822269966,0.5167317500975417,0.5318543054726227,0.5157693424362323
Nauru,2027,0.5254016690738577,0.515714008395101,0.5362241398931159,0.5157693424362323
New Zealand,2023,0.6893643940266129,0.6856802976635769,0.6932550301492094,0.6873330390684571
New Zealand,2024,0.6911787169557118,0.680385413205792,0.7014329072225317,0.6873330390684571
New Zealand,2025,0.6929980106325615,0.673927662344662,0.7119245634206754,0.6873330390684571
New Zealand,2026,0.6948123335616604,0.6631933504880505,0.7228139653714752,0.6873330390684571
New Zealand,2027,0.6966266564907593,0.6515164761167654,0.7357337823427189,0.6873330390684571
Oman,2023,0.60594147242172,0.602731250063428,0.6096188392303661,0.5876707879866078
Oman,2024,0.6082154586344286,0.6005930298270382,0.6174277781504378,0.5876707879866078
Oman,2025,0.6104956749463502,0.5963795467512746,0.6268495851616874,0.5876707879866078
Oman,2026,0.6127696611590586,0.590441231706992,0.6371362137692045,0.5876707879866078
Oman,2027,0.6150436473717672,0.5812950597333548,0.6495485090254491,0.5876707879866078
Pakistan,2023,0.5571069878047324,0.5529033560234945,0.5615232290271829,0.53824841587678
Pakistan,2024,0.5583273890467043,0.5533418189119486,0.5633147039429496,0.53824841587678
Pakistan,2025,0.5595511338537227,0.5540054521839483,0.5659595407451545,0.53824841587678
Pakistan,2026,0.5607715350956946,0.5528117500166687,0.5689827435841931,0.53824841587678
Pakistan,2027,0.5619919363376664,0.5516609550891539,0.5730109959731488,0.53824841587678
Panama,2023,0.6962529941574248,0.6898809216662686,0.7020286347569347,0.6781034606867258
Panama,2024,0.698647841687812,0.6807148774276551,0.717084632699194,0.6781034606867258
Panama,2025,0.7010492504443099,0.6672894310011248,0.7328669419023373,0.6781034606867258
Panama,2026,0.7034440979746973,0.6530263151582738,0.7523255077771384,0.6781034606867258
Panama,2027,0.7058389455050846,0.6357296115429232,0.7717711432972607,0.6781034606867258
Peru,2023,0.703768368526013,0.7000765076701175,0.707429541799469,0.6770978166794568
Peru,2024,0.7064529489142124,0.6992122160255438,0.7138468734041137,0.6770978166794568
Peru,2025,0.7091448843171739,0.6955650075381137,0.7224124811146249,0.6770978166794568
Peru,2026,0.7118294647053732,0.6901872978238146,0.7313971138101444,0.6770978166794568
Peru,2027,0.7145140450935726,0.6852009947966726,0.7424223084975213,0.6770978166794568
Philippines,2023,0.6418935004403697,0.6357055584112621,0.6484450588809905,0.6352539113382546
Philippines,2024,0.6438322308549834,0.623901188564541,0.6642502908975356,0.6352539113382546
Philippines,2025,0.6457762728597739,0.6092380643599573,0.6827426924005592,0.6352539113382546
Philippines,2026,0.6477150032743874,0.5930896695532004,0.7016339188681913,0.6352539113382546
Philippines,2027,0.6496537336890008,0.5741667393544915,0.7272107986269071,0.6352539113382546
Palau,2023,0.6769314779492954,0.675178938219261,0.6786080028503625,0.6701356733470071
Palau,2024,0.6775711778455527,0.6740738190900897,0.6808520651113439,0.6701356733470071
Palau,2025,0.6782126303442654,0.6725541032095206,0.6839742657094758,0.6701356733470071
Palau,2026,0.6788523302405228,0.6706496819591626,0.6881562438160649,0.6701356733470071
Palau,2027,0.6794920301367801,0.6680061702258999,0.6921445606893947,0.6701356733470071
